Estados;Casos;Novos Casos (1 dia);casos a cada um milhão de pessoas;Mortes
Acre;160.349;21;202.947;2.043
Alagoas;337.366;49;101.563;7.242
Amapá;185.027;2;246.374;2.167
Amazonas;628.783;1.275;162.319;14.427
Bahia;1.790.221;0;118.346;31.441
Ceará;1.451.896;282;164.190;28.114
Distrito Federal;896.057;0;Não há dados;11.843
Espírito Santo;1.321.526;0;340.157;15.037
Goiás;1.891.600;596;289.979;28.011
Maranhão;492.911;44;71.949;11.050
Mato Grosso;877.510;0;272.150;15.084
Mato Grosso do Sul;606.906;963;231.674;11.004
Minas Gerais;4.184.728;0;200.523;65.075
Paraná;2.915.407;699;263.083;45.967
Paraíba;707.490;106;179.389;10.541
Pará;869.385;190;107.678;19.010
Pernambuco;1.152.424;0;124.214;22.676
Piauí;424.866;90;132.990;8.354
Rio Grande do Norte;585.447;0;171.760;8.712
Rio Grande do Sul;2.957.452;794;262.034;41.905
Rio de Janeiro;2.740.730;0;166.497;76.781
Rondônia;482.422;113;275.901;7.428
Roraima;182.147;0;366.540;2.180
Santa Catarina;1.981.901;662;276.617;22.698
Sergipe;359.612;6;162.018;6.502
São Paulo;6.448.208;3.754;146.433;178.858
Tocantins;364.957;0;243.812;4.232
